id,name,description,estado
1100015,Alta Floresta D'Oeste,Alta Floresta D'Oeste,Rondônia
1100023,Ariquemes,Ariquemes,Rondônia
1100031,Cabixi,Cabixi,Rondônia
1100049,Cacoal,Cacoal,Rondônia
1100056,Cerejeiras,Cerejeiras,Rondônia
1100064,Colorado do Oeste,Colorado do Oeste,Rondônia
1100072,Corumbiara,Corumbiara,Rondônia
1100080,Costa Marques,Costa Marques,Rondônia
1100098,Espigão D'Oeste,Espigao D'Oeste,Rondônia
1100106,Guajará-Mirim,Guajara-Mirim,Rondônia
1100114,Jaru,Jaru,Rondônia
1100122,Ji-Paraná,Ji-Parana,Rondônia
1100130,Machadinho D'Oeste,Machadinho D'Oeste,Rondônia
1100148,Nova Brasilândia D'Oeste,Nova Brasilandia D'Oeste,Rondônia
1100155,Ouro Preto do Oeste,Ouro Preto do Oeste,Rondônia
1100189,Pimenta Bueno,Pimenta Bueno,Rondônia
1100205,Porto Velho,Porto Velho,Rondônia
1100254,Presidente Médici,Presidente Medici,Rondônia
1100262,Rio Crespo,Rio Crespo,Rondônia
1100288,Rolim de Moura,Rolim de Moura,Rondônia
1100296,Santa Luzia D'Oeste,Santa Luzia D'Oeste,Rondônia
1100304,Vilhena,Vilhena,Rondônia
1100320,São Miguel do Guaporé,Sao Miguel do Guapore,Rondônia
1100338,Nova Mamoré,Nova Mamore,Rondônia
1100346,Alvorada D'Oeste,Alvorada D'Oeste,Rondônia
1100379,Alto Alegre dos Parecis,Alto Alegre dos Parecis,Rondônia
1100403,Alto Paraíso,Alto Paraiso,Rondônia
1100452,Buritis,Buritis,Rondônia
1100502,Novo Horizonte do Oeste,Novo Horizonte do Oeste,Rondônia
1100601,Cacaulândia,Cacaulandia,Rondônia
1100700,Campo Novo de Rondônia,Campo Novo de Rondonia,Rondônia
1100809,Candeias do Jamari,Candeias do Jamari,Rondônia
1100908,Castanheiras,Castanheiras,Rondônia
1100924,Chupinguaia,Chupinguaia,Rondônia
1100940,Cujubim,Cujubim,Rondônia
1101005,Governador Jorge Teixeira,Governador Jorge Teixeira,Rondônia
1101104,Itapuã do Oeste,Itapua do Oeste,Rondônia
1101203,Ministro Andreazza,Ministro Andreazza,Rondônia
1101302,Mirante da Serra,Mirante da Serra,Rondônia
1101401,Monte Negro,Monte Negro,Rondônia
1101435,Nova União,Nova Uniao,Rondônia
1101450,Parecis,Parecis,Rondônia
1101468,Pimenteiras do Oeste,Pimenteiras do Oeste,Rondônia
1101476,Primavera de Rondônia,Primavera de Rondonia,Rondônia
1101484,São Felipe D'Oeste,Sao Felipe D'Oeste,Rondônia
1101492,São Francisco do Guaporé,Sao Francisco do Guapore,Rondônia
1101500,Seringueiras,Seringueiras,Rondônia
1101559,Teixeirópolis,Teixeiropolis,Rondônia
1101609,Theobroma,Theobroma,Rondônia
1101708,Urupá,Urupa,Rondônia
1101757,Vale do Anari,Vale do Anari,Rondônia
1101807,Vale do Paraíso,Vale do Paraiso,Rondônia
1200013,Acrelândia,Acrelandia,Acre
1200054,Assis Brasil,Assis Brasil,Acre
1200104,Brasiléia,Brasileia,Acre
1200138,Bujari,Bujari,Acre
1200179,Capixaba,Capixaba,Acre
1200203,Cruzeiro do Sul,Cruzeiro do Sul,Acre
1200252,Epitaciolândia,Epitaciolandia,Acre
1200302,Feijó,Feijo,Acre
1200328,Jordão,Jordao,Acre
1200336,Mâncio Lima,Mancio Lima,Acre
1200344,Manoel Urbano,Manoel Urbano,Acre
1200351,Marechal Thaumaturgo,Marechal Thaumaturgo,Acre
1200385,Plácido de Castro,Placido de Castro,Acre
1200393,Porto Walter,Porto Walter,Acre
